数据采集器型号,数采序号
EDAS-24GN,G10305DR6
EDAS-24IP,G08149DR6
EDAS-24IP,G05696DR3
EDAS-24IP,G08162DR3
EDAS-24IP,G08513DR3
SMART-24R,1082
EDAS-24GN,G11177DR6
EDAS-24IP,G08525DR3
EDAS-24IP,G08199DR3
EDAS-24IP,G06150DR3
EDAS-24IP,G08547DR3
EDAS-24IP,G08526DR3
EDAS-24IP,G08558DR3
EDAS-24IP,G08267DR3
EDAS-24GN,G10311DR6
EDAS-24GN,G13165DR3
EDAS-24IP,G10108DR6
EDAS-24GN,G10134DR3
EDAS-24IP,G08504DR3
EDAS-24IP,G05695DR3
EDAS-24GN,G13162DR3
EDAS-24IP,G08527DR3
EDAS-24IP,G08649DR3
EDAS-24IP,G08538DR3
EDAS-24IP,G06127DR6
EDAS-24IP,
EDAS-24GN,G13553DR6
EDAS-24IP,G07315DR3
EDAS-24IP,G08161DR3
EDAS-24IP,G10188DR3
EDAS-24IP,G05111DR3
EDAS-24IP,G10192DR3
EDAS-24IP,G07224DR3
EDAS-24IP,G05698DR3
EDAS-24GN,G13555DR6
EDAS-24GN,G13556DR6
EDAS-24IP,G04104DR6
EDAS-24IP,G06149DR6
EDAS-24IP,G04108DR6
EDAS-24IP,G08555DR3 
EDAS-24IP,G08169DR3
EDAS-24IP,G085SDDR3
EDAS-24IP,G10182DR3
EDAS-24IP,G06120DR6
EDAS-24IP,G08106DR3
EDAS-24IP,G05107DR3
EDAS-24IP,G05114DR3
EDAS-24IP,G06117DR6
EDAS-24IP,G08148DR6
EDAS-24IP,G05142DR6
EDAS-24IP,G05103DR3
EDAS-24IP,G06141DR6
EDAS-24IP,G10183DR3
EDAS-24IP,G08137DR6
EDAS-24IP,G08197DR3
EDAS-24IP,G10904DR6
EDAS-24GN,G13562DR6
EDAS-24GN,G10304DR6
EDAS-24IP,G08210DR3
EDAS-24IP,G07235DR3
EDAS-24IP,G10107DR6
EDAS-24GN,G13552DR6
EDAS-24IP,G10146DR6
EDAS-24IP,
EDAS-24IP,G05110DR3
EDAS-24IP,
EDAS-24IP,
EDAS-24GN,G13550DR6
EDAS-24GN,G13551DR6
EDAS-24IP,G08193DR3
EDAS-24IP,G05124DR6
EDAS-24IP,G08524DR3
EDAS-24IP,G07304DR3
EDAS-24IP,G05698DR3
EDAS-24IP,G05132DR6
EDAS-24IP,G10108DR6
EDAS-24IP,G05113DR3
EDAS-24IP,G04105DR6
EDAS-24GN,G14664DR6
EDAS-24IP,G05112DR3
EDAS-24IP,G04106DR6
EDAS-24IP,G08570DR3
EDAS-24IP,G04103DR6
EDAS-24IP,G05144DR6
EDAS-24IP,G10106DR6
EDAS-24IP,G05125DR6
EDAS-24IP,G10177DR3
EDAS-24GN,G14621DR6
EDAS-24IP,G10300DR3
EDAS-24IP,G07145DR6
EDAS-24IP,G05122DR6
EDAS-24IP,G08171DR3
EDAS-24IP,G04107DR6
EDAS-24IP,G10143DR6
EDAS-24IP,G08562DR3
EDAS-24IP,G05104DR3 
EDAS-24IP,G08516DR3
EDAS-24IP,G10109DR6
EDAS-24IP,G10190DR3
EDAS-24GN,G13554DR6
EDAS-24GN,G13560DR6
EDAS-24IP,G05127DR6
EDAS-24IP,
EDAS-24IP,G08533DR3
EDAS-24GN,
EDAS-24L6 EDAS-IPU,G04126DR6
EDAS-24GN,G10310DR6
EDAS-24IP,G05123DR6
EDAS-24IP,
EDAS-C24B,SN:01113022
EDAS-24IP,G10191DR3
EDAS-24GN,G13561DR6
EDAS-24GN,G12104DR6
EDAS-24IP,G04101DR6
EDAS-24IP,G05683DR3
EDAS-24IP,G05676DR3
EDAS-24IP,G05117DR6
EDAS-24IP,G05116DR6
EDAS-24IP,G05681DR3
EDAS-BS60,G11030BS
EDAS-BS60,G11031BS
EDAS-BS60,G11032BS
EDAS-BS60,G11033BS
EDAS-BS60,G11034BS
EDAS-BS60,G11035BS
EDAS-BS60,G11036BS
EDAS-24IP,G04102DR6
EDAS-24IP,G10185DR3
EDAS-24IP,G06105DR6
EDAS-24IP,G08502DR3
EDAS-24IP,G08574DR3
EDAS-24IP,G08540DR3
EDAS-24IP,G05108DR3
EDAS-24IP,G05106DR3
EDAS-24IP,G08125DR3
EDAS-24IP,G08560DR3
EDAS-24IP,G08523DR3
EDAS-24IP,G08198DR3
EDAS-24IP,G08528DR3
EDAS-24IP,G08195DR3
EDAS-24IP,G05660DR3
EDAS-24IP,G08545DR3
EDAS-24IP,G05659DR3
EDAS-24IP,G05695DR3
EDAS-24IP,G06123DR6
EDAS-24IP,
EDAS-24GN,G10305DR6
EDAS-24GN,G10307DR6
EDAS-24GN,G13557DR6
EDAS-24GN,G12105DR6
EDAS-24GN,G13164DR3
EDAS-24GN,G10175DR3
EDAS-24GN,G13560DR3
EDAS-24GN,G14299DR3
EDAS-24GN,G15013DR3
EDAS-24GN,G15016DR3
EDAS-24GN,G15014DR3
EDAS-24GN,G15015DR3
EDAS-24GN,G15009DR3
EDAS-24GN,G15010DR3
EDAS-24GN,G15011DR3
EDAS-24GN,G15012DR3
EDAS-24GN,G14300DR3
EDAS-24GN,G14301DR3
EDAS-24GN,G10148DR3
EDAS-24GN,G14620DR6
BBVS-60,G05104VS
BBVS-60,G08150VS
BBVS-60,G12835VS
BBVS-60,G12840VS
BBVS-60,G08150VS
BBVS-120,G06101VS
BBVS-120,G06106VS
BBVS-120,G06102VS
GL－S60,G14923VS
GL－S60,G14924VS
GL－S60,G14925VS
GL－S60,G14926VS
GL－S60,G14927VS
GL－S60,G14929VS
GL－S60,G13893VS
GL－S60,G13894VS
GL－S60,G13895VS
FBS-3B,490
FBS-3B,570
FBS-3B,572
FBS-3B,576
FBS-3B,493
FBS-3B,491
JC-V100-3D,408
JC-V100-3D,416
EDAS-3,1043
EDAS-3,1039
EDAS-3,1210
EDAS-3,1211
EDAS-3,1281
EDAS-3,1284
EDAS-24L,3123004
EDAS-24L6,4119
EDAS-C24A,1
EDAS-C24A,2
EDAS-C24B,1113022
EDAS-C24B,1113030
EDAS-C24B,2043003
EDAS-C24B,2043004
EDAS-C24B,2043008
EDAS-C24B,2043009
EDAS-C24B,2043014
EDAS-24IP,G08106DR3
BBVS-60,G08148VS
BBVS-120,G06102VS
JCZ-1TF,11011
BBVS-60,G05103VS
BBVS-60,G08137VS
BBVS-60,G08162VS
KS-2000,119
BBVS-120,G10475VS
BBVS-120,G06108VS
BBVS-60,G05109VS
BBVS-60,G04130VS
BBVS-60,G11825VS
BBVS-60,G10904VS
BBVS-60,G04131VS
BBVS-60,G06125VS
FBS-3B,585
BBVS-60,G10834VS
BBVS-60,G08144VS
,
BBVS-60,G08145VS
BBVS-60,G05104VS
GL-S60,G13826VS
FSS-3DBH,754
FSS-3DBH,918
FSS-3DBH,925
BBVS-60DBH,G1005VS
BBVS-60DBH,G12008VS
BBVS-60DBH,G13010BH
BBVS-120,G06107VS
CMG-3ESP,T3H87
BBVS-60,G04129VS
BBVS-60,G05112VS
BBVS-120,G06105VS
BBVS-120,G07116VS
BBVS-60,G12831VS
BBVS-60,G12829VS
BBVS-60,G12832VS
FSS-3DBH,750
FSS-3DBH,897
CMG-3ESP,T3H89
BBVS-120,G06104VS
BBVS-60,G08159VS
BBVS-60,G04124VS
BBVS-60,G05110VS
FSS-3DBH,0A21
BBVS-60DBH,G1001VS
BBVS-60,G08146VS
BBVS-60DBH,G1007VS
FSS-3DBH,870
FSS-3DBH,698
FSS-3DBH,909
FSS-3DBH,936
BBVS-60DBH,G1012VS
BBVS-60DBH,G1006VS
BBVS-60DBH,G1004VS
BBVS-60DBH,G15014BH
BBVS-60,G10903VS
FSS-3DBH,903
FSS-3BDH,793
FSS-3DBH,0A30
BBVS-60DBH,G14014BH
FSS-3DBH,761
FSS-3DBH,476
FSS-3DBH,926
FSS-3DBH,0A19
FSS-3DBH,0A40
BBVS-60DBH,G13002BH
BBVS-60DBH,G12002BH
BBVS-60,G04126VS
BBVS-60,G08142VS
BBVS-120,G07105VS
BBVS-60,G05108VS 
FSS-3DBH,753
BBVS-60,G08136VS 
BBVS-60,G06157VS
BBVS-120,G06103VS
BBVS-60,G05113VS
