id,code,name_en,name_cn,measure_means,district,longtitude,latitude,heigh,lithology,address,staff_name,phone,image,note,project_source
1,37278,,监测中心台,qiangzhen,省局,117.2225,36.6486,16.0,,,,,,,
2,37150,37TAN,泰安台,qiangzhen,泰安,117.1249,36.2126,247.0,基岩,泰安地震台,,,,,
3,37001,,泰安台（国家台）,qiangzhen,泰安,117.1249,36.2126,247.0,洞室,,,,,,
4,,,肥城,qiangzhen,泰安,116.7438,36.1746,182.17,基岩,,,,,,
5,,,宁阳,qiangzhen,泰安,116.8945,35.8408,128.99,基岩,,,,,,
6,37777,,岱岳,qiangzhen,泰安,117.2591,36.0056,218.84,基岩,,,,,,
7,,,新泰,qiangzhen,泰安,117.7633,35.9474,280.0,,,,,,,
8,,,东平,qiangzhen,泰安,116.4631,35.9395,77.95,基岩,,,,,,
9,37002,37YTT,烟台,qiangzhen,烟台,120.7458,37.8011,62.0,基岩,烟台市芝罘区南山沟17号,,,,,
10,37002,,烟台,qiangzhen,烟台,121.386,37.5231,57.09,基岩,烟台市芝罘区南山沟17号,,,,,
11,37178,37LKT,龙口,qiangzhen,烟台,120.5108,37.648,34.0,土层,龙口市双语实验小学,,,,,
12,37182,37LYT,莱阳,qiangzhen,烟台,120.7445,36.9105,39.0,土层,莱阳市照旺庄中学,,,,,
13,37176,37LZH,莱州,qiangzhen,烟台,119.9506,37.1931,69.0,土层,莱州市双语学校,,,,,
14,37179,37PLT,蓬莱,qiangzhen,烟台,120.7458,37.801,57.0,土层,蓬莱市港南路实验中学,,,,,
15,37177,37ZHY,招远,qiangzhen,烟台,120.4134,37.3549,89.0,土层,招远市泉山小学,,,,,
16,37175,37JCT,莱州金城,qiangzhen,烟台,120.11,37.4164,28.0,土层,莱州市金城中学,,,,,
17,37181,37QXT ,栖霞,qiangzhen,烟台,120.8158,37.2975,28.0,土层,栖霞市迎宾路西,,,,,
